2026-04-18 11:28:59.268 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=ref-updated change= branch=
2026-04-18 11:28:59.268 | torri.gerrit.event_processor   | DEBUG    | _build_event        :27   | Building event from payload keys=['changer', 'patchSet', 'change', 'project', 'refName', 'changeKey', 'type', 'eventCreatedOn']
2026-04-18 11:28:59.268 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :64   | Handling event type=wip-state-changed change=3 patch=1 project=libraries/common-utils
2026-04-18 11:28:59.269 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :73   | Submitting change enrichment for change=3
2026-04-18 11:28:59.269 | torri.gerrit.event_processor   | DEBUG    | _build_event        :27   | Building event from payload keys=['uploader', 'patchSet', 'change', 'project', 'refName', 'changeKey', 'type', 'eventCreatedOn']
2026-04-18 11:28:59.269 | torri.connection.gerrit        | DEBUG    | _getChange          :280  | Cache hit for key=('3', None)
2026-04-18 11:28:59.269 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :64   | Handling event type=patchset-created change=4 patch=1 project=libraries/common-utils
2026-04-18 11:28:59.270 | torri.gerrit.event_processor   | DEBUG    | _on_enrichment_done :86   | Enrichment done for change=3 has_details=True
2026-04-18 11:28:59.270 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :73   | Submitting change enrichment for change=4
2026-04-18 11:28:59.270 | torri.gerrit.event_processor   | DEBUG    | _dispatch_event     :101  | Dispatch event type=wip-state-changed change=3 branch=master
2026-04-18 11:28:59.271 | torri.connection.gerrit        | DEBUG    | _getChange          :283  | Cache miss or refresh for key=('4', None) refresh=False
2026-04-18 11:28:59.272 | torri.gerrit.event_processor   | DEBUG    | _build_event        :27   | Building event from payload keys=['submitter', 'refUpdate', 'type', 'eventCreatedOn']
2026-04-18 11:28:59.272 | torri.connection.gerrit        | DEBUG    | _getChange          :286  | Network manager state=fetch change=4
2026-04-18 11:28:59.273 | torri.gerrit.event_processor   | DEBUG    | _handle_event       :64   | Handling event type=ref-updated change= patch= project=libraries/common-utils
